date,exercise,sets,reps,weight,unit,rir,notes
2026-04-28,bench press,4,5,197.5,lb,1,
2026-04-28,overhead press,3,8,107.5,lb,0,Felt heavy today
2026-04-28,lateral raise,3,12,27.5,lb,2,
2026-04-30,back squat,4,5,252.5,lb,1,
2026-04-30,deadlift,3,5,315,lb,1,
2026-05-02,pull-up,4,10,0,lb,1,
2026-05-02,barbell row,3,8,157.5,lb,1,
2026-05-05,bench press,4,5,200,lb,1,200x5 PR
2026-05-05,overhead press,3,7,107.5,lb,0,Missed last rep on set 3
2026-05-05,lateral raise,3,12,30,lb,3,
2026-05-07,back squat,4,5,255,lb,1,
2026-05-07,deadlift,3,5,320,lb,1,
2026-05-09,pull-up,4,10,0,lb,1,
2026-05-09,barbell row,3,8,160,lb,1,
2026-05-12,bench press,4,5,200,lb,0,Same weight harder this week
2026-05-12,overhead press,3,7,105,lb,0,Dropped weight still grinding
2026-05-12,lateral raise,3,12,30,lb,2,
2026-05-14,back squat,4,5,257.5,lb,1,
2026-05-14,deadlift,3,5,325,lb,1,
