date,exercise,sets,reps,weight,unit,rir,notes
2026-03-03,bench press,4,5,175,lb,3,
2026-03-03,overhead press,3,8,95,lb,2,
2026-03-03,lateral raise,3,12,20,lb,3,
2026-03-05,back squat,4,5,225,lb,3,
2026-03-05,deadlift,3,5,275,lb,3,
2026-03-07,pull-up,4,6,0,lb,2,Bodyweight
2026-03-07,barbell row,3,8,135,lb,2,
2026-03-10,bench press,4,5,180,lb,2,
2026-03-10,overhead press,3,8,97.5,lb,2,
2026-03-10,lateral raise,3,12,20,lb,2,
2026-03-12,back squat,4,5,230,lb,2,
2026-03-12,deadlift,3,5,280,lb,2,
2026-03-14,pull-up,4,7,0,lb,2,Bodyweight
2026-03-14,barbell row,3,8,140,lb,2,
2026-03-17,bench press,4,5,182.5,lb,2,
2026-03-17,overhead press,3,8,100,lb,1,
2026-03-17,lateral raise,3,12,22.5,lb,3,
2026-03-19,back squat,4,5,235,lb,2,
2026-03-19,deadlift,3,5,285,lb,2,
2026-03-21,pull-up,4,7,0,lb,1,
2026-03-21,barbell row,3,8,142.5,lb,1,
2026-03-24,bench press,4,5,185,lb,2,
2026-03-24,overhead press,3,8,100,lb,1,
2026-03-24,lateral raise,3,12,22.5,lb,2,
2026-03-26,back squat,4,5,237.5,lb,1,
2026-03-26,deadlift,3,5,290,lb,2,
2026-03-28,pull-up,4,8,0,lb,1,
2026-03-28,barbell row,3,8,145,lb,1,
2026-03-31,bench press,4,5,187.5,lb,1,
2026-03-31,overhead press,3,8,102.5,lb,1,
2026-03-31,lateral raise,3,12,25,lb,3,
2026-04-02,back squat,4,5,242.5,lb,1,
2026-04-02,deadlift,3,5,295,lb,1,
2026-04-04,pull-up,4,8,0,lb,1,
2026-04-04,barbell row,3,8,147.5,lb,1,
2026-04-07,bench press,4,5,190,lb,1,
2026-04-07,overhead press,3,8,105,lb,1,
2026-04-07,lateral raise,3,12,25,lb,2,
2026-04-09,back squat,4,5,245,lb,1,
2026-04-09,deadlift,3,5,300,lb,1,Big milestone
2026-04-11,pull-up,4,9,0,lb,1,
2026-04-11,barbell row,3,8,150,lb,1,
2026-04-14,bench press,4,5,192.5,lb,1,
2026-04-14,overhead press,3,8,105,lb,0,
2026-04-14,lateral raise,3,12,25,lb,2,
2026-04-16,back squat,4,5,247.5,lb,1,
2026-04-16,deadlift,3,5,305,lb,1,
2026-04-18,pull-up,4,9,0,lb,0,
2026-04-18,barbell row,3,8,152.5,lb,1,
2026-04-21,bench press,4,5,195,lb,1,
2026-04-21,overhead press,3,8,107.5,lb,1,
2026-04-21,lateral raise,3,12,27.5,lb,3,
2026-04-23,back squat,4,5,250,lb,1,
2026-04-23,deadlift,3,5,310,lb,1,
2026-04-25,pull-up,4,10,0,lb,1,
2026-04-25,barbell row,3,8,155,lb,1,
